school_name,district,city,channel_group,utm_source,missing_in_campaign,missing_in_same_day_attr
Hacı Yusuf Mescit Ahmet Haşhaş İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Hacıveyiszade Anadolu İmam Hatip Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Hacıveyiszade Mahallesi Ahmet Haşhaş İlkokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Halil Bahçeci İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Hamzaoğlu İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Hasan Ali Yücel İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Hayıroğlu İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Hayıroğlu İmam Hatip Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Hediye-Mehmet Ali Uzman İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Hüseyin Sevim Köroğlu İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
İbrahim Sulhiye Kamanlı İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
İlhan-Nuran Keskin İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
İSA CAN BEZİRCİ İMAM HATİP ORTAOKULU,KARATAY,Konya,mall_screen,konya_avm,YES,YES
İsa Can Bezirci Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
İsmet Paşa İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
İstiklal İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
İstiklal Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
İzzet Bezirci İlkokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Karaaslan Atatürk İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Karaaslan Atatürk Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Karaaslan Cumhuriyet İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Karatay 15 Temmuz Şehitleri Anadolu Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Karatay Ali Ulvi Kurucu Anadolu İmam Hatip Lisesi,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Karatay Aykent Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,instagram,YES,YES
Karatay Belediyesi 23 Nisan İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Karatay Belediyesi İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Karatay Belediyesi Osman Benliler İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Karatay Borsa İstanbul Gazi Mustafa Kemal Turizm Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Karatay Borsa İstanbul Zübeyde Hanım Kız Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,instagram,YES,YES
Karatay Fen Lisesi,KARATAY,Konya,social_paid,facebook,YES,YES
Karatay Hamza Yerlikaya Spor Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Karatay Hürriyet Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Karatay İlhan-Nuran Keskin Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Karatay Kocatepe İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Karatay Nermin-Agah-Erdinç Topak Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Karatay Ortaokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Karatay Sadreddin Konevi Anadolu İmam Hatip Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Karatay Ticaret Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Karatay TOKİ Anadolu Lisesi,KARATAY,Konya,social_paid,instagram,YES,YES
Karkent İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Kılıçarslan Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Konya Anadolu İmam Hatip Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Konya Türk Telekom Sosyal Bilimler Lisesi,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Koyunoğlu İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Kurtuluş Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Kuvayi Milliye İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Mahide Koşukçu İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Mehmet-Hanife Yapıcı Anadolu Lisesi,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Mehmetçik İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Mehmetçik İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Mevlana Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Mustafa Aydın İlkokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Müslüme Ali Yaman İmam Hatip Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Namık Kemal Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Nermin Agah Erdinç Topak İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Nizamülmülk Anadolu Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Orhan Gazi İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Ovakavağı İlkokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Ovakavağı İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Prof. Dr. Fuat Sezgin Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Prof.Dr.Ömer Dinçer Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Saraçoğlu Ahmet Haşhaş İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Saraçoğlu İmam Hatip Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Saraçoğlu Toki Mustafa Çetin İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Sezai Karakoç İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Sultan Alparslan İmam Hatip Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Süleyman Şah Anadolu Lisesi,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Şehit Albay İbrahim Karaoğlanoğlu İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Şehit Azam Güdendede Anadolu Lisesi,KARATAY,Konya,social_paid,youtube,YES,YES
Şehit Erol Olçok İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Şehit Sadık Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
ŞEHİT ÜSTEĞMEN MEHMET DÜZENLİ İMAM HATİP ORTAOKULU,KARATAY,Konya,social_paid,instagram,YES,YES
Şekibe Aksoy İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Tatlıcak Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Türk Anadolu Vakfı Hafız Kız Anadolu İmam Hatip Lisesi,KARATAY,Konya,social_paid,facebook,YES,YES
Ulubatlı Hasan İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Uluırmak Hürriyet İmam Hatip Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
VALİ KEMAL KATITAŞ İLKOKULU,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Yağlıbayat Ortaokulu,KARATAY,Konya,social_paid,instagram,YES,YES
Yarma İlkokulu,KARATAY,Konya,social_paid,facebook,YES,YES
Yarma Ortaokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Yaşar Doğu Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
Yavuz Selim İlkokulu,KARATAY,Konya,mall_screen,konya_avm,YES,YES
Yenikent İlkokulu,KARATAY,Konya,social_paid,instagram,YES,YES
YENİKENT ORTAOKULU,KARATAY,Konya,social_paid,facebook,YES,YES
Yusuf Gül İlkokulu,KARATAY,Konya,social_paid,youtube,YES,YES
Zeliha Seymen İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,YES,YES
